2,6,132.3,126.3,0.2157
5,6,101.7,95.7,0.218
8,6,92.1,86.1,0.2017
10,4,82,78,0.2119
12,6,80.1,74.1,0.2139
15,4,88.8,84.8,0.1692
20,6,89.6,83.6,0.1784
22,6,86.4,80.4,0.176
25,6,89,83,0.2121
30,6,88,82,0.1572
35,2.8,66.4,63.6,0.1222
40,6,54.1,48.1,0.1724
45,6,85.5,79.5,0.188
50,6,85.5,79.5,0.1542
