0,12,42.16,0.1548
1,6,70.9,0.18
3,2.3,81.3,0.2031
5,3.4,75.6,0.2157
6,3.8,76.8,0.2274
7,12,78.5,0.2061
10,6,73.8,0.1918
15,6,77.5,0.1996
20,7.1,60.9,0.2197
25,9.3,75.2,0.2425
30,6,96.1,0.2326
35,12,76,0.2256
40,6.4,112,0.2413
45,8,123.9,0.2489
48,8,130.4,0.2396
50,9.3,127.7,0.264
55,12,110.5,0.2285
60,7.7,152.7,0.2768
62,8,145.2,0.243
65,12,94.5,0.2116
70,12.1,140.1,0.2519
75,12,129.2,0.2436
80,12.1,154.6,0.2361
