0.0,2.245462961817582,4.337408848752075,9.437626200678062,17.634625105651242
4.0,1.337017190779823,2.908628070768807,6.572114808812027,11.505880054168856
8.0,1.3929223540332032,2.231237083556145,4.7445051174027935,6.570403127052458
12.0,1.5355049209688485,1.871613561701277,2.9504637033366508,5.612477961403195
16.0,1.6353666032080523,1.8435092485083504,2.223628112975383,3.5521881848841925
20.0,1.6868258122535527,1.9165318397299624,1.9843995540481383,2.6548570975086556
24.0,1.6980587111286027,1.9399292040003193,2.033413465893547,2.615006158275468
28.0,1.656359116597852,1.837487620478914,1.948792572169911,2.120847133194036
32.0,1.558504778989406,1.718234808872702,1.7404381683002113,1.7571926472435064
36.0,1.4026542251972844,1.5228375699887688,1.4550754263716246,1.4341318427536047
40.0,1.2471654105620202,1.2910886360026865,1.1800377500284616,1.2964184197609137
44.0,1.1507492718798251,1.0431533131020625,0.9787894999809232,1.1075660442086388
48.0,1.0789601760920053,0.8682512802547034,0.75849334197411,0.8254386372687998
52.0,1.024069889084207,0.8102524962510899,0.6124734682209011,0.5842203847510318
56.0,0.9890082884652437,0.8204963112644929,0.5919088317597088,0.4450111815575485
60.0,0.9668458326326467,0.8776781763332497,0.642123517692493,0.40553022381112036
64.0,0.9386094851041201,0.9188420361385523,0.7161208820856897,0.4813046837253669
68.0,0.9015509465580793,0.9120769269690707,0.7512702576504915,0.5716175025084912
72.0,0.85381219629396,0.8694691089878169,0.7370990613150996,0.6178993866035273
76.0,0.7981594325896082,0.8022947496317381,0.6814615912412406,0.604036702411082
80.0,0.7415558113114764,0.7180843093123238,0.6049686258684013,0.542916664765136
84.0,0.6938533877992631,0.6330662982618581,0.5262009919291073,0.4583821575309531
88.0,0.6549754272062674,0.5669715161309401,0.45366984787483927,0.3757649424170517
92.0,0.6242414121098584,0.5321105278860752,0.40421774011060485,0.309670838651781
96.0,0.5999812530584752,0.5230235976718973,0.3881840541798655,0.2738049397937943
100.0,0.5788868068031303,0.527248255209163,0.3965432072675805,0.2705159833583319
104.0,0.5573530236569579,0.5290319903488776,0.4112279620993866,0.28993663373448475
108.0,0.5332962093259921,0.5190922952354156,0.4168705426432705,0.3119878656675332
112.0,0.5065371383456929,0.496684072847364,0.40712636108605815,0.32071747927341737
116.0,0.4780097509952941,0.46487432916500404,0.38373794946789935,0.31237428196485556
120.0,0.4498538052492531,0.4278198898138812,0.35197323232339733,0.28945845613387416
